"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.33,,
"AUS","Australia","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","0_TO_1","0-1 scale","0","Units",,,0.325,,
"AUS","Australia","CPI2010","Consumer Price Index (base 2010=100)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","IDX","Index","0","Units",,,113.475554,,
"AUS","Australia","CPI2010","Consumer Price Index (base 2010=100)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","IDX","Index","0","Units",,,117.898072,,
"AUS","Australia","PVTAA1","Age group 0-17: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.125,,
"AUS","Australia","PVTAA1","Age group 0-17: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.133,,
"AUS","Australia","ECTOTAL","Total earnings (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,54709,,
"AUS","Australia","ECTOTAL","Total earnings (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,56697,,
"AUS","Australia","TACTOTAL","Taxes and social security contributions paid directly by households (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,-13801,,
"AUS","Australia","TACTOTAL","Taxes and social security contributions paid directly by households (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,-15202,,
"AUS","Australia","INCAC1","Age group 0-17: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,54451,,
"AUS","Australia","INCAC1","Age group 0-17: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,55881,,
"AUS","Australia","INCAC2","Age group 18-25: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,65355,,
"AUS","Australia","INCAC2","Age group 18-25: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,69545,,
"AUS","Australia","PVTAA2","Age group 18-25: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.064,,
"AUS","Australia","PVTAA2","Age group 18-25: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.076,,
